50 0
0 1 1.3067824090870301
0 2 1.2272881405294387
0 3 1.2405819545120866
0 4 1.3287443185741556
0 5 1.2305700749738304
0 6 1.3500650476880887
0 7 1.3364908728187044
0 8 1.2506686904226978
0 9 1.3152154683895705
0 10 1.158033363268875
0 11 1.3993253277596345
0 12 1.1580172898933394
0 13 1.3865183445588791
0 14 1.239989516332551
0 15 1.2362876601272725
0 16 1.1899826103866906
0 17 1.2810071428618193
0 18 1.346592213995317
0 19 1.2808590219578364
0 20 1.341180290570226
0 21 1.2125907790019292
0 22 1.3078079782380891
0 23 1.2438337977650469
0 24 1.3486825162043397
0 25 1.2932404907440005
0 26 1.2824029378797945
0 27 1.3742163128629994
0 28 1.2138840700543472
0 29 1.4162490415231261
0 30 1.112913382064883
0 31 1.3148861791183288
0 32 1.3480154223969039
0 33 1.3082185909929718
0 34 1.3623462608104282
0 35 1.3235242404121512
0 36 1.3060969122175372
0 37 1.1612049061509395
0 38 1.2905764306526593
0 39 1.2800289365950772
0 40 1.2442092133844544
0 41 1.317112408202715
0 42 1.3974333049865342
0 43 1.2361814094257277
0 44 1.3974890543316483
0 45 1.4520195930069215
0 46 1.3738512168134487
0 47 1.3273347626102217
0 48 1.3055291331780443
0 49 1.4231545046101788
1 2 1.3272872645193394
1 3 1.310737398082968
1 4 1.2352195268520132
1 5 1.4406501773697133
1 6 1.3823252098074879
1 7 1.4014340935773464
1 8 1.2677957917199423
1 9 1.2043041650004795
1 10 1.3322132956392276
1 11 1.2817406079935272
1 12 1.0759380772395652
1 13 1.3696861477446491
1 14 1.2137929311858329
1 15 1.2621742846884987
1 16 1.3877117298456516
1 17 1.419513502225868
1 18 1.1823804675871372
1 19 1.2043589417449518
1 20 1.3189793692472664
1 21 1.3645176034118938
1 22 1.2973626014273494
1 23 1.2273806442682462
1 24 1.1961567384326954
1 25 1.3115281407847066
1 26 1.2265715796803345
1 27 1.2730772321187929
1 28 1.16745664739683
1 29 1.292422989943267
1 30 1.2974992585635603
1 31 1.1574492042303264
1 32 1.2275456330131334
1 33 1.1517106337850265
1 34 1.304625124873423
1 35 1.2223058369407958
1 36 1.1882753044027277
1 37 1.3151438954925931
1 38 1.2501623031804607
1 39 1.3629066794279527
1 40 1.436169282127548
1 41 1.3080665208148925
1 42 1.1278831093886055
1 43 1.3916880434768275
1 44 1.0892652446995759
1 45 1.254566878454696
1 46 1.1739154011458444
1 47 1.2334517454556366
1 48 1.2724308490908407
1 49 1.1407094476199984
2 3 1.3911243656575742
2 4 1.4797135461610684
2 5 1.380445742096118
2 6 1.3324204432959308
2 7 1.4244819737013412
2 8 1.3972424292922705
2 9 1.3262637278407954
2 10 1.3218685885484367
2 11 1.452648263583501
2 12 1.2427160457809834
2 13 1.3073282803360313
2 14 1.3744292386133545
2 15 1.4115589655482015
2 16 1.2650646373914565
2 17 1.3157453840143516
2 18 1.3997492863371743
2 19 1.4459696272568023
2 20 1.3798172132729554
2 21 1.3666379466809995
2 22 1.3285604824023476
2 23 1.3598955594415598
2 24 1.1765624040631628
2 25 1.2578326989623474
2 26 1.4203805433330436
2 27 1.306884625259471
2 28 1.3335079215813779
2 29 1.3863504232092811
2 30 1.2818035227626055
2 31 1.4518454275225965
2 32 1.4009949460527806
2 33 1.323345762819439
2 34 1.4727039476792188
2 35 1.3807155837141816
2 36 1.5009711628658144
2 37 1.3227243887538165
2 38 1.4443233999600997
2 39 1.3397563794176264
2 40 1.2430892434312886
2 41 1.3171892628119666
2 42 1.2883480224822752
2 43 1.3004356778603674
2 44 1.3238240267395065
2 45 1.324441231874821
